ocel_id;ocel_time
14639_leave_Supplier Loading Area_tr2;2023-05-30 09:40:38
14640_leave_Supplier Loading Area_cr14;2023-05-30 09:40:38
14643_leave_Storage_fl1;2023-05-30 09:50:50
14645_leave_Terminal North_tr2;2023-05-30 09:50:57
14647_leave_Terminal North_fl1;2023-05-30 09:56:22
14648_leave_Terminal North_cr14;2023-05-30 09:56:22
14652_leave_Loading Bay_vh1;2023-05-30 11:00:00
14655_leave_Supplier Loading Area_tr1;2023-05-30 11:19:41
14656_leave_Supplier Loading Area_cr10;2023-05-30 11:19:41
14659_leave_Storage_fl1;2023-05-30 11:29:38
14661_leave_Terminal North_tr1;2023-05-30 11:29:42
14663_leave_Terminal North_fl1;2023-05-30 11:36:00
14664_leave_Terminal North_cr10;2023-05-30 11:36:00
14667_leave_Truck Depot_tr5;2023-05-30 12:17:00
14668_leave_Truck Depot_tr4;2023-05-30 12:17:00
14670_leave_Supplier_tr5;2023-05-30 13:21:40
14672_leave_Supplier_tr4;2023-05-30 13:28:31
14677_leave_Supplier Loading Area_tr5;2023-05-30 15:07:45
14678_leave_Supplier Loading Area_cr29;2023-05-30 15:07:45
14679_leave_Supplier Loading Area_tr4;2023-05-30 15:09:21
14680_leave_Supplier Loading Area_cr30;2023-05-30 15:09:21
14683_leave_Storage_fl1;2023-05-30 15:19:30
14685_leave_Terminal North_tr4;2023-05-30 15:19:38
14687_leave_Terminal North_fl1;2023-05-30 15:26:10
14688_leave_Terminal North_cr30;2023-05-30 15:26:10
14693_leave_Storage_fl1;2023-05-30 15:47:29
14695_leave_Terminal North_tr5;2023-05-30 15:47:34
14697_leave_Terminal North_fl1;2023-05-30 15:57:31
14698_leave_Terminal North_cr29;2023-05-30 15:57:31
14701_leave_Truck Depot_tr4;2023-05-30 18:19:10
14702_leave_Truck Depot_tr2;2023-05-31 04:17:49
14704_leave_Supplier_tr4;2023-05-31 07:20:05
14706_leave_Supplier_tr2;2023-05-31 07:36:47
14711_leave_Supplier Loading Area_tr4;2023-05-31 09:57:39
14712_leave_Supplier Loading Area_cr19;2023-05-31 09:57:39
14713_leave_Supplier Loading Area_tr2;2023-05-31 10:11:41
14714_leave_Supplier Loading Area_cr4;2023-05-31 10:11:41
14717_leave_Storage_fl1;2023-05-31 10:51:30
14719_leave_Terminal North_tr2;2023-05-31 10:51:32
14721_leave_Terminal North_fl1;2023-05-31 10:54:56
14722_leave_Terminal North_cr4;2023-05-31 10:54:56
14727_leave_Storage_fl1;2023-05-31 11:05:33
14729_leave_Terminal North_tr4;2023-05-31 11:05:35
14731_leave_Terminal North_fl1;2023-05-31 11:12:28
14732_leave_Terminal North_cr19;2023-05-31 11:12:28
14735_leave_Truck Depot_tr3;2023-05-31 15:12:07
14737_leave_Supplier_tr3;2023-05-31 15:18:39
14738_leave_Truck Depot_tr5;2023-05-31 16:21:40
14740_leave_Supplier_tr5;2023-05-31 16:27:32
14745_leave_Supplier Loading Area_tr3;2023-05-31 17:24:34
14746_leave_Supplier Loading Area_cr41;2023-05-31 17:24:34
14749_leave_Storage_fl1;2023-05-31 17:58:46
14751_leave_Terminal North_tr3;2023-05-31 17:58:50
14753_leave_Truck Depot_tr3;2023-05-31 18:46:09
14754_leave_Truck Depot_tr2;2023-05-31 22:52:24
14755_leave_Loading Bay_fl3;2023-05-31 23:37:22
14757_leave_Loading Bay_fl2;2023-05-31 23:37:22
14759_leave_Truck Depot_tr1;2023-06-01 01:31:22
14760_leave_Storage_fl3;2023-06-01 07:40:49
14761_leave_Storage_cr29;2023-06-01 07:40:49
14764_leave_Storage_fl2;2023-06-01 07:43:15
14765_leave_Storage_cr30;2023-06-01 07:43:15
14769_leave_Supplier_tr1;2023-06-01 07:43:25
14770_leave_Terminal North_fl1;2023-06-01 07:46:21
14771_leave_Terminal North_cr41;2023-06-01 07:46:21
14774_leave_Storage_fl1;2023-06-01 07:46:21
14776_leave_Supplier Loading Area_tr5;2023-06-01 07:47:31
14777_leave_Supplier Loading Area_cr43;2023-06-01 07:47:31
14778_leave_Storage_fl1;2023-06-01 07:50:52
14779_leave_Storage_cr41;2023-06-01 07:50:52
14783_leave_Supplier_tr3;2023-06-01 08:07:24
14785_leave_Supplier_tr2;2023-06-01 08:18:42
14790_leave_Loading Bay_fl3;2023-06-01 08:55:03
14792_leave_Terminal North_tr5;2023-06-01 08:55:06
14798_leave_Supplier Loading Area_tr1;2023-06-01 09:47:36
14799_leave_Supplier Loading Area_cr11;2023-06-01 09:47:36
14800_leave_Supplier Loading Area_tr3;2023-06-01 09:51:15
14801_leave_Supplier Loading Area_cr2;2023-06-01 09:51:15
14804_leave_Loading Bay_fl2;2023-06-01 09:57:39
14806_leave_Terminal North_tr1;2023-06-01 09:57:49
14810_leave_Loading Bay_fl1;2023-06-01 10:52:01
14812_leave_Terminal North_tr3;2023-06-01 10:52:07
14814_leave_Terminal North_fl1;2023-06-01 10:56:56
14815_leave_Terminal North_cr2;2023-06-01 10:56:56
14818_leave_Terminal North_fl3;2023-06-01 10:57:12
14819_leave_Terminal North_cr43;2023-06-01 10:57:12
14822_leave_Storage_fl1;2023-06-01 10:57:12
14824_leave_Terminal North_fl2;2023-06-01 11:05:16
14825_leave_Terminal North_cr11;2023-06-01 11:05:16
14828_leave_Truck Depot_tr5;2023-06-01 11:34:00
14830_leave_Supplier_tr5;2023-06-01 11:38:10
14831_leave_Storage_fl1;2023-06-01 11:58:25
14832_leave_Storage_cr43;2023-06-01 11:58:25
14837_leave_Truck Depot_tr6;2023-06-01 12:28:15
14838_leave_Supplier Loading Area_tr2;2023-06-01 13:18:22
14839_leave_Supplier Loading Area_cr35;2023-06-01 13:18:22
14842_leave_Storage_fl3;2023-06-01 13:30:47
14844_leave_Terminal South_tr2;2023-06-01 13:30:52
14847_leave_Supplier_tr6;2023-06-01 13:32:38
14848_leave_Terminal South_fl3;2023-06-01 13:39:17
14849_leave_Terminal South_cr35;2023-06-01 13:39:17
14852_leave_Supplier Loading Area_tr5;2023-06-01 14:00:10
14853_leave_Supplier Loading Area_cr20;2023-06-01 14:00:10
14856_leave_Storage_fl2;2023-06-01 14:10:12
14858_leave_Terminal North_tr5;2023-06-01 14:10:21
14860_leave_Terminal North_fl2;2023-06-01 14:15:57
14861_leave_Terminal North_cr20;2023-06-01 14:15:57
14866_leave_Supplier Loading Area_tr6;2023-06-01 15:38:55
14867_leave_Supplier Loading Area_cr1;2023-06-01 15:38:55
14868_leave_Truck Depot_tr4;2023-06-01 16:17:03
14870_leave_Supplier_tr4;2023-06-01 16:22:15
14873_leave_Storage_fl2;2023-06-01 17:02:15
14875_leave_Terminal North_tr6;2023-06-01 17:02:28
14877_leave_Terminal North_fl2;2023-06-01 17:13:01
14878_leave_Terminal North_cr1;2023-06-01 17:13:01
14881_leave_Truck Depot_tr6;2023-06-01 21:25:57
14882_leave_Truck Depot_tr1;2023-06-02 05:49:52
14884_leave_Supplier_tr6;2023-06-02 07:49:44
14886_leave_Supplier_tr1;2023-06-02 08:08:59
14889_leave_Supplier Loading Area_tr4;2023-06-02 08:30:55
14890_leave_Supplier Loading Area_cr34;2023-06-02 08:30:55
14893_leave_Loading Bay_fl1;2023-06-02 08:55:31
14895_leave_Terminal South_tr4;2023-06-02 08:55:35
14901_leave_Supplier Loading Area_tr6;2023-06-02 09:44:41
14902_leave_Supplier Loading Area_cr3;2023-06-02 09:44:41
14905_leave_Storage_fl2;2023-06-02 09:57:13
14907_leave_Terminal North_tr6;2023-06-02 09:57:15
14909_leave_Truck Depot_tr2;2023-06-02 10:08:58
14910_leave_Supplier Loading Area_tr1;2023-06-02 10:11:45
14911_leave_Supplier Loading Area_cr28;2023-06-02 10:11:45
14913_leave_Supplier_tr2;2023-06-02 10:14:49
14916_leave_Supplier Loading Area_tr2;2023-06-02 10:54:54
14917_leave_Supplier Loading Area_cr45;2023-06-02 10:54:54
14918_leave_Terminal North_fl2;2023-06-02 10:58:18
14919_leave_Terminal North_cr3;2023-06-02 10:58:18
14922_leave_Loading Bay_vh2;2023-06-02 11:00:00
14923_leave_Terminal South_fl1;2023-06-02 11:00:07
14924_leave_Terminal South_cr34;2023-06-02 11:00:07
14929_leave_Storage_fl2;2023-06-02 11:13:51
14931_leave_Terminal North_tr1;2023-06-02 11:13:59
14933_leave_Terminal North_fl2;2023-06-02 11:20:58
14934_leave_Terminal North_cr28;2023-06-02 11:20:58
14939_leave_Storage_fl2;2023-06-02 12:40:19
14941_leave_Truck Depot_tr5;2023-06-02 13:35:59
14942_leave_Terminal North_tr2;2023-06-02 13:40:29
14944_leave_Terminal North_fl2;2023-06-02 13:49:58
14945_leave_Terminal North_cr45;2023-06-02 13:49:58
14949_leave_Supplier_tr5;2023-06-02 13:54:58
14952_leave_Supplier Loading Area_tr5;2023-06-02 16:09:53
14953_leave_Supplier Loading Area_cr48;2023-06-02 16:09:53
14956_leave_Loading Bay_fl1;2023-06-02 16:25:11
14958_leave_Terminal South_tr5;2023-06-02 16:25:18
14960_leave_Terminal South_fl1;2023-06-02 16:28:38
14961_leave_Terminal South_cr48;2023-06-02 16:28:38
14964_leave_Truck Depot_tr3;2023-06-02 17:47:49
14966_leave_Supplier_tr3;2023-06-02 19:04:51
14968_leave_Truck Depot_tr6;2023-06-03 03:57:13
14969_leave_Truck Depot_tr1;2023-06-03 07:07:08
14970_leave_Truck Depot_tr4;2023-06-03 07:31:14
14971_leave_Truck Depot_tr2;2023-06-03 11:09:38
14972_leave_Truck Depot_tr5;2023-06-03 12:18:26
14973_leave_Storage_fl2;2023-06-05 04:44:51
14974_leave_Loading Bay_fl1;2023-06-05 04:44:51
14976_leave_Loading Bay_fl3;2023-06-05 04:44:51
14980_leave_Supplier_tr5;2023-06-05 07:25:10
14982_leave_Supplier_tr2;2023-06-05 07:25:32
14984_leave_Supplier_tr4;2023-06-05 07:39:52
14986_leave_Supplier_tr1;2023-06-05 07:40:27
14987_leave_Storage_fl1;2023-06-05 07:48:05
14988_leave_Storage_cr12;2023-06-05 07:48:05
14991_leave_Storage_fl3;2023-06-05 07:51:09
14992_leave_Storage_cr14;2023-06-05 07:51:09
14995_leave_Storage_fl2;2023-06-05 07:52:46
14996_leave_Storage_cr11;2023-06-05 07:52:46
15000_leave_Supplier_tr6;2023-06-05 08:29:13
15013_leave_Supplier Loading Area_tr1;2023-06-05 11:26:07
15014_leave_Supplier Loading Area_cr53;2023-06-05 11:26:07
15017_leave_Loading Bay_fl1;2023-06-05 11:37:18
15019_leave_Terminal South_tr1;2023-06-05 11:37:28
15021_leave_Truck Depot_tr1;2023-06-05 11:37:28
15022_leave_Terminal South_fl1;2023-06-05 11:40:18
15023_leave_Terminal South_cr53;2023-06-05 11:40:18
15027_leave_Supplier_tr1;2023-06-05 11:47:00
15028_leave_Supplier Loading Area_tr6;2023-06-05 11:56:54
15029_leave_Supplier Loading Area_cr27;2023-06-05 11:56:54
15030_leave_Supplier Loading Area_tr2;2023-06-05 11:59:29
15031_leave_Supplier Loading Area_cr47;2023-06-05 11:59:29
15036_leave_Loading Bay_fl3;2023-06-05 14:06:28
15038_leave_Terminal South_tr6;2023-06-05 14:06:37
15040_leave_Truck Depot_tr6;2023-06-05 14:06:37
15042_leave_Supplier_tr6;2023-06-05 14:12:34
15043_leave_Terminal South_fl3;2023-06-05 14:12:52
15044_leave_Terminal South_cr27;2023-06-05 14:12:52
15051_leave_Loading Bay_fl2;2023-06-05 14:54:35
15053_leave_Terminal South_tr2;2023-06-05 14:54:45
15055_leave_Truck Depot_tr2;2023-06-05 14:54:45
15057_leave_Supplier_tr2;2023-06-05 14:58:57
15058_leave_Supplier Loading Area_tr4;2023-06-05 15:00:42
15059_leave_Supplier Loading Area_cr52;2023-06-05 15:00:42
15062_leave_Loading Bay_fl1;2023-06-05 15:11:48
15064_leave_Terminal North_tr4;2023-06-05 15:11:53
15066_leave_Truck Depot_tr4;2023-06-05 15:11:53
15067_leave_Terminal North_fl1;2023-06-05 15:14:50
15068_leave_Terminal North_cr52;2023-06-05 15:14:50
15072_leave_Supplier_tr4;2023-06-05 15:18:54
15073_leave_Supplier Loading Area_tr3;2023-06-05 15:27:54
15074_leave_Supplier Loading Area_cr33;2023-06-05 15:27:54
15077_leave_Terminal South_fl2;2023-06-05 16:01:06
15078_leave_Terminal South_cr47;2023-06-05 16:01:06
15085_leave_Storage_fl1;2023-06-05 16:43:03
15087_leave_Terminal North_tr3;2023-06-05 16:43:12
15089_leave_Truck Depot_tr3;2023-06-05 16:43:12
15091_leave_Supplier_tr3;2023-06-05 16:50:48
15092_leave_Terminal North_fl1;2023-06-05 16:52:23
15093_leave_Terminal North_cr33;2023-06-05 16:52:23
15098_leave_Supplier Loading Area_tr2;2023-06-06 08:31:21
15099_leave_Supplier Loading Area_cr50;2023-06-06 08:31:21
15100_leave_Supplier Loading Area_tr5;2023-06-06 08:50:43
15101_leave_Supplier Loading Area_cr51;2023-06-06 08:50:43
15104_leave_Storage_fl1;2023-06-06 08:51:39
15106_leave_Terminal North_tr2;2023-06-06 08:51:50
15108_leave_Truck Depot_tr2;2023-06-06 08:51:50
15110_leave_Supplier_tr2;2023-06-06 09:52:14
15111_leave_Terminal North_fl1;2023-06-06 09:54:06
15112_leave_Terminal North_cr50;2023-06-06 09:54:06
15115_leave_Supplier Loading Area_tr3;2023-06-06 09:55:50
15116_leave_Supplier Loading Area_cr24;2023-06-06 09:55:50
15119_leave_Storage_fl1;2023-06-06 09:56:18
15121_leave_Terminal North_tr5;2023-06-06 09:56:21
15123_leave_Truck Depot_tr5;2023-06-06 09:56:21
15125_leave_Supplier_tr5;2023-06-06 10:57:00
15126_leave_Supplier Loading Area_tr4;2023-06-06 10:59:57
15127_leave_Supplier Loading Area_cr15;2023-06-06 10:59:57
15128_leave_Loading Bay_vh3;2023-06-06 11:00:00
15130_leave_Terminal North_fl1;2023-06-06 11:01:54
15131_leave_Terminal North_cr51;2023-06-06 11:01:54
15136_leave_Supplier Loading Area_tr6;2023-06-06 11:10:44
15137_leave_Supplier Loading Area_cr49;2023-06-06 11:10:44
15140_leave_Loading Bay_fl3;2023-06-06 11:20:54
15142_leave_Terminal South_tr6;2023-06-06 11:20:57
15144_leave_Truck Depot_tr6;2023-06-06 11:20:57
15145_leave_Terminal South_fl3;2023-06-06 11:26:30
15146_leave_Terminal South_cr49;2023-06-06 11:26:30
15151_leave_Storage_fl1;2023-06-06 11:31:14
15153_leave_Terminal North_tr3;2023-06-06 11:31:17
15155_leave_Truck Depot_tr3;2023-06-06 11:31:17
15156_leave_Supplier Loading Area_tr2;2023-06-06 11:32:33
15157_leave_Supplier Loading Area_cr38;2023-06-06 11:32:33
15159_leave_Supplier_tr6;2023-06-06 11:33:38
15161_leave_Terminal North_fl1;2023-06-06 11:35:33
15162_leave_Terminal North_cr24;2023-06-06 11:35:33
15165_leave_Supplier_tr3;2023-06-06 11:35:36
15168_leave_Loading Bay_fl2;2023-06-06 11:42:43
15170_leave_Terminal South_tr2;2023-06-06 11:42:48
15172_leave_Truck Depot_tr2;2023-06-06 11:42:48
15173_leave_Terminal South_fl2;2023-06-06 11:49:49
15174_leave_Terminal South_cr38;2023-06-06 11:49:49
15178_leave_Supplier_tr2;2023-06-06 11:50:59
15183_leave_Loading Bay_fl3;2023-06-06 12:09:40
15187_leave_Terminal South_tr4;2023-06-06 13:09:52
15189_leave_Truck Depot_tr4;2023-06-06 13:09:52
15190_leave_Terminal South_fl3;2023-06-06 13:16:41
15191_leave_Terminal South_cr15;2023-06-06 13:16:41
15195_leave_Supplier_tr4;2023-06-06 13:24:24
15200_leave_Supplier Loading Area_tr6;2023-06-06 14:04:58
15201_leave_Supplier Loading Area_cr46;2023-06-06 14:04:58
15202_leave_Supplier Loading Area_tr1;2023-06-06 14:18:36
15203_leave_Supplier Loading Area_cr25;2023-06-06 14:18:36
15204_leave_Supplier Loading Area_tr5;2023-06-06 14:28:19
15205_leave_Supplier Loading Area_cr61;2023-06-06 14:28:19
15208_leave_Loading Bay_fl2;2023-06-06 14:28:40
15210_leave_Terminal South_tr1;2023-06-06 14:28:46
15212_leave_Truck Depot_tr1;2023-06-06 14:28:46
15214_leave_Supplier_tr1;2023-06-06 14:33:51
15215_leave_Terminal South_fl2;2023-06-06 14:34:07
15216_leave_Terminal South_cr25;2023-06-06 14:34:07
15221_leave_Storage_fl1;2023-06-06 14:37:59
15223_leave_Terminal North_tr5;2023-06-06 14:38:00
15225_leave_Truck Depot_tr5;2023-06-06 14:38:00
15226_leave_Supplier Loading Area_tr2;2023-06-06 14:38:42
15227_leave_Supplier Loading Area_cr37;2023-06-06 14:38:42
15228_leave_Supplier Loading Area_tr4;2023-06-06 14:38:48
15229_leave_Supplier Loading Area_cr42;2023-06-06 14:38:48
15233_leave_Supplier_tr5;2023-06-06 14:41:16
15234_leave_Terminal North_fl1;2023-06-06 14:41:53
15235_leave_Terminal North_cr61;2023-06-06 14:41:53
15238_leave_Supplier Loading Area_tr3;2023-06-06 14:42:51
15239_leave_Supplier Loading Area_cr36;2023-06-06 14:42:51
15242_leave_Storage_fl1;2023-06-06 14:44:35
15244_leave_Terminal North_tr6;2023-06-06 14:44:37
15246_leave_Truck Depot_tr6;2023-06-06 14:44:37
15249_leave_Loading Bay_fl2;2023-06-06 14:48:24
15251_leave_Terminal North_tr2;2023-06-06 14:48:28
15253_leave_Truck Depot_tr2;2023-06-06 14:48:28
15256_leave_Loading Bay_fl3;2023-06-06 14:49:08
15258_leave_Terminal North_tr4;2023-06-06 14:49:16
15261_leave_Supplier_tr6;2023-06-06 14:49:40
15262_leave_Terminal North_fl1;2023-06-06 14:51:21
15263_leave_Terminal North_cr46;2023-06-06 14:51:21
15266_leave_Terminal North_fl2;2023-06-06 14:52:09
15267_leave_Terminal North_cr37;2023-06-06 14:52:09
15272_leave_Storage_fl1;2023-06-06 14:53:03
15275_leave_Supplier_tr2;2023-06-06 14:53:10
15276_leave_Terminal North_tr3;2023-06-06 14:53:11
15280_leave_Terminal North_fl3;2023-06-06 14:55:17
15281_leave_Terminal North_cr42;2023-06-06 14:55:17
15284_leave_Terminal North_fl1;2023-06-06 14:59:09
15285_leave_Terminal North_cr36;2023-06-06 14:59:09
15290_leave_Supplier Loading Area_tr5;2023-06-06 15:43:08
15291_leave_Supplier Loading Area_cr44;2023-06-06 15:43:08
15294_leave_Storage_fl2;2023-06-06 15:53:19
15296_leave_Terminal South_tr5;2023-06-06 15:53:25
15300_leave_Terminal South_fl2;2023-06-06 15:59:55
15301_leave_Terminal South_cr44;2023-06-06 15:59:55
15306_leave_Supplier Loading Area_tr1;2023-06-06 16:32:02
15307_leave_Supplier Loading Area_cr21;2023-06-06 16:32:02
15308_leave_Supplier Loading Area_tr2;2023-06-06 16:43:28
15309_leave_Supplier Loading Area_cr17;2023-06-06 16:43:28
15312_leave_Storage_fl3;2023-06-06 16:55:53
15314_leave_Terminal North_tr2;2023-06-06 16:55:59
15316_leave_Supplier Loading Area_tr6;2023-06-06 17:26:33
15317_leave_Supplier Loading Area_cr57;2023-06-06 17:26:33
15318_leave_Truck Depot_tr5;2023-06-06 17:56:09
15319_leave_Terminal North_fl3;2023-06-06 18:07:09
15320_leave_Terminal North_cr17;2023-06-06 18:07:09
15325_leave_Loading Bay_fl2;2023-06-06 18:30:35
15327_leave_Terminal South_tr1;2023-06-06 18:31:50
15329_leave_Truck Depot_tr1;2023-06-06 23:37:34
15331_leave_Supplier_tr1;2023-06-07 07:45:35
15332_leave_Terminal South_fl2;2023-06-07 07:59:49
15333_leave_Terminal South_cr21;2023-06-07 07:59:49
15337_leave_Supplier_tr5;2023-06-07 08:05:36
15340_leave_Storage_fl1;2023-06-07 08:14:02
15342_leave_Terminal South_tr6;2023-06-07 08:14:05
15344_leave_Terminal South_fl1;2023-06-07 08:22:10
15345_leave_Terminal South_cr57;2023-06-07 08:22:10
15352_leave_Supplier Loading Area_tr5;2023-06-07 09:57:46
15353_leave_Supplier Loading Area_cr32;2023-06-07 09:57:46
15354_leave_Supplier Loading Area_tr1;2023-06-07 11:01:52
15355_leave_Supplier Loading Area_cr59;2023-06-07 11:01:52
15358_leave_Storage_fl3;2023-06-07 11:35:56
15360_leave_Terminal North_tr5;2023-06-07 11:35:57
15364_leave_Loading Bay_fl1;2023-06-07 11:41:36
15366_leave_Terminal North_tr1;2023-06-07 11:41:38
15368_leave_Terminal North_fl3;2023-06-07 11:42:56
15369_leave_Terminal North_cr32;2023-06-07 11:42:56
15372_leave_Terminal North_fl1;2023-06-07 11:44:38
15373_leave_Terminal North_cr59;2023-06-07 11:44:38
15376_leave_Truck Depot_tr1;2023-06-07 17:09:49
15378_leave_Supplier_tr1;2023-06-07 17:31:41
15379_leave_Storage_fl3;2023-06-07 22:09:51
15380_leave_Loading Bay_fl2;2023-06-07 22:09:51
15383_leave_Storage_fl1;2023-06-07 22:09:51
15385_leave_Truck Depot_tr5;2023-06-08 01:26:43
15386_leave_Storage_fl3;2023-06-08 07:13:00
15387_leave_Storage_cr52;2023-06-08 07:13:00
15390_leave_Storage_fl2;2023-06-08 07:13:39
15391_leave_Storage_cr18;2023-06-08 07:13:39
15394_leave_Loading Bay_fl2;2023-06-08 07:14:55
15396_leave_Storage_fl1;2023-06-08 07:15:26
15397_leave_Storage_cr51;2023-06-08 07:15:26
15400_leave_Loading Bay_fl3;2023-06-08 07:18:10
15402_leave_Storage_fl2;2023-06-08 07:18:55
15403_leave_Storage_cr45;2023-06-08 07:18:55
15406_leave_Loading Bay_fl1;2023-06-08 07:20:22
15408_leave_Storage_fl3;2023-06-08 07:21:21
15409_leave_Storage_cr46;2023-06-08 07:21:21
15412_leave_Storage_fl1;2023-06-08 07:24:02
15413_leave_Storage_cr16;2023-06-08 07:24:02
15416_leave_Loading Bay_fl2;2023-06-08 07:25:13
15418_leave_Storage_fl2;2023-06-08 07:27:39
15419_leave_Storage_cr61;2023-06-08 07:27:39
15422_leave_Loading Bay_fl1;2023-06-08 07:27:44
15424_leave_Storage_fl1;2023-06-08 07:29:55
15425_leave_Storage_cr28;2023-06-08 07:29:55
15428_leave_Loading Bay_fl3;2023-06-08 07:30:46
15431_leave_Supplier_tr5;2023-06-08 07:36:33
15432_leave_Storage_fl3;2023-06-08 07:38:19
15433_leave_Storage_cr17;2023-06-08 07:38:19
15440_leave_Supplier Loading Area_tr1;2023-06-08 09:45:04
15441_leave_Supplier Loading Area_cr56;2023-06-08 09:45:04
15444_leave_Loading Bay_fl1;2023-06-08 09:54:48
15446_leave_Terminal North_tr1;2023-06-08 09:54:50
15448_leave_Truck Depot_tr3;2023-06-08 10:43:26
15450_leave_Supplier_tr3;2023-06-08 10:56:50
15451_leave_Terminal North_fl1;2023-06-08 10:58:14
15452_leave_Terminal North_cr56;2023-06-08 10:58:14
15455_leave_Supplier Loading Area_tr5;2023-06-08 12:01:50
15456_leave_Supplier Loading Area_cr55;2023-06-08 12:01:50
15461_leave_Storage_fl1;2023-06-08 13:14:06
15463_leave_Terminal North_tr5;2023-06-08 13:14:10
15465_leave_Terminal North_fl1;2023-06-08 13:18:33
15466_leave_Terminal North_cr55;2023-06-08 13:18:33
15469_leave_Supplier Loading Area_tr3;2023-06-08 13:33:50
15470_leave_Supplier Loading Area_cr39;2023-06-08 13:33:50
15473_leave_Loading Bay_fl3;2023-06-08 14:52:30
15475_leave_Terminal South_tr3;2023-06-08 14:52:36
15477_leave_Terminal South_fl3;2023-06-08 14:57:03
15478_leave_Terminal South_cr39;2023-06-08 14:57:03
15481_leave_Truck Depot_tr4;2023-06-09 01:20:43
15482_leave_Truck Depot_tr6;2023-06-09 02:04:42
15483_leave_Truck Depot_tr5;2023-06-09 04:05:15
